Nama_Obat,Zat_Aktif
PEHACAIN,LIDOCAINE HYDROCHLORIDE
PEHACAIN,EPINEPHRINE
BUSCOPAN,HYOSCINE BUTYLBROMIDE
DUVADILAN,ISOXSUPRINE HYDROCHLORIDE
TEARS NATURALE II,DEXTRAN 70
TEARS NATURALE II,HYPROMELLOSE
DERMACOID,HYDROCORTISONE BUTYRATE
HUFAMAG PLUS,DRIED ALUMINIUM HYDROXIDE GEL
HUFAMAG PLUS,MAGNESIUM HYDROXIDE
HUFAMAG PLUS,SIMETHICONE
XYLOCAINE,LIDOCAINE
CEFNOS,CEFPIROME
MOKBIOS 500,AMOXICILLIN
LOVEQUIN,LEVOFLOXACIN HYDROCHLORIDE
INFUSAN RING - AS,SODIUM CHLORIDE
INFUSAN RING - AS,POTASSIUM CHLORIDE
INFUSAN RING - AS,CALCIUM CHLORIDE DIHYDRATE
INFUSAN RING - AS,SODIUM ACETATE
SUPRAFENID,KETOPROFEN
MEXTRIL,GUAIFENESIN
MEXTRIL,DEXTROMETHORPHAN HYDROBROMIDE
MEXTRIL,CHLORPHENAMINE MALEATE
PROLEPSI 600,OXCARBAZEPINE
LEVORES,LEVOFLOXACIN HEMIHYDRATE
MECOBALAMIN,MECOBALAMIN
AMLOCOR 10 ODT,AMLODIPINE BESILATE
AMLOCOR 10 ODT,AMLODIPINE
GRAVASK 5,AMLODIPINE BESILATE
GRAVASK 10,AMLODIPINE BESILATE
CIPROMID 500,CIPROFLOXACIN
RESPIVENT,IPRATROPIUM BROMIDE
RESPIVENT,SALBUTAMOL SULFATE
ONZAPIN,OLANZAPINE
DOMPERIDONE,DOMPERIDONE
CORORA,DENOSUMAB
PARACETAMOL,PARACETAMOL
DIAFORMIN XR,METFORMIN HYDROCHLORIDE
XGEVA,DENOSUMAB
THISLACOL 500,THIAMPHENICOL
URIEF,SILODOSIN
METFORMIN XR,METFORMIN HYDROCHLORIDE
PIL KB I KOMBINASI,ETHINYLESTRADIOL
PIL KB I KOMBINASI,LEVONORGESTREL
ANORO ELLIPTA,UMECLINIDIUM
ANORO ELLIPTA,VILANTEROL
PREGABALIN,PREGABALIN
OXYNORM,OXYCODONE HYDROCHLORIDE
BETMIGA,MIRABEGRON
LOSATEC,OLMESARTAN MEDOXOMIL
TINTAROS,ROSUVASTATIN CALCIUM
RELVAR ELLIPTA,FLUTICASONE
DEPO PROTHYRA,MEDROXYPROGESTERONE
BONDRONAT,IBANDRONIC ACID
BIO PPD,TUBERCULIN PPD
CARETROPIN,SOMATROPIN
SIMTEL 80,TELMISARTAN
SIMTEL 40,TELMISARTAN
TRIPLIXAM,PERINDOPRIL ARGININE
TRIPLIXAM,INDAPAMIDE
TRIPLIXAM,AMLODIPINE BESILATE
ONDAVELL 4 ODT,ONDANSETRON
VIVENA-9,SODIUM ASCORBATE
VIVENA-9,THIAMINE NITRATE
VIVENA-9,RIBOFLAVIN SODIUM PHOSPHATE
VIVENA-9,NICOTINAMIDE
VIVENA-9,DEXPANTHENOL
VIVENA-9,PYRIDOXINE HYDROCHLORIDE
VIVENA-9,FOLIC ACID
VIVENA-9,CYANOCOBALAMIN
VIVENA-9,BIOTIN
RESPITIDE,SALMETEROL XINAFOATE
RESPITIDE,FLUTICASONE PROPIONAT
TAPCOM,TAFLUPROST
TAPCOM,TIMOLOL MALEATE
VOCINTI,VONOPRAZAN FUMARATE
MIGRATOP,TOPIRAMATE
LAPIGIM 2/500,GLIMEPIRIDE
LAPIGIM 2/500,METFORMIN
FEPEZIL,DONEPEZIL HYDROCHLORIDE
LEVOFLOXACIN HEMIHYDRATE,LEVOFLOXACIN HEMIHYDRATE
LAPIVA 10/160,AMLODIPINE BESILATE
LAPIVA 10/160,VALSARTAN
LAPIVA 5/80,AMLODIPINE BESILATE
LAPIVA 5/80,VALSARTAN
LAPIVA 5/160,AMLODIPINE BESILATE
LAPIVA 5/160,VALSARTAN
AMLOCOR 5 ODT,AMLODIPINE BESILATE
JARDIANCE DUO,EMPAGLIFLOZIN
