zat_aktif_1,zat_aktif_2,level
efavirenz,promethazine,Major
efavirenz,abemaciclib,Moderate
efavirenz,infliximab,Moderate
efavirenz,lenalidomide,Moderate
efavirenz,nicotinamide,Moderate
efavirenz,artemether,Major
efavirenz,ketoconazole,Major
efavirenz,fluconazole,Major
efavirenz,ibrutinib,Moderate
efavirenz,medroxyprogesterone acetate,Moderate
efavirenz,sucralfate,Unknown
efavirenz,leflunomide,Major
efavirenz,methylprednisolone,Moderate
efavirenz,hydrocortisone,Moderate
efavirenz,fluorouracil,Unknown
efavirenz,enzalutamide,Moderate
efavirenz,rivaroxaban,Moderate
efavirenz,dexamethasone,Moderate
efavirenz,betamethasone,Moderate
efavirenz,folic acid,Unknown
efavirenz,magnesium hydroxide,Moderate
efavirenz,prednisolone,Moderate
efavirenz,tretinoin,Moderate
efavirenz,potassium chloride,Unknown
efavirenz,dasatinib,Major
efavirenz,docetaxel,Moderate
efavirenz,ethinylestradiol,Moderate
efavirenz,ondansetron,Major
efavirenz,ribociclib,Major
efavirenz,triamcinolone,Moderate
efavirenz,everolimus,Moderate
efavirenz,paclitaxel,Moderate
efavirenz,fluticasone,Unknown
efavirenz,lidocaine,Minor
efavirenz,vilanterol,Moderate
efavirenz,bortezomib,Minor
efavirenz,oxaliplatin,Major
efavirenz,crizotinib,Major
efavirenz,ibuprofen,Moderate
efavirenz,lorlatinib,Major
efavirenz,metformin,Unknown
efavirenz,sulfasalazine,Moderate
efavirenz,amphotericin b,Unknown
efavirenz,tacrolimus,Major
efavirenz,cyclophosphamide,Unknown
efavirenz,metronidazole,Minor
efavirenz,prednisone,Moderate
efavirenz,oxytocin,Major
efavirenz,interferon beta-1a,Moderate
efavirenz,diclofenac,Moderate
efavirenz,lansoprazole,Unknown
efavirenz,pyrimethamine,Unknown
efavirenz,axitinib,Major
efavirenz,methotrexate,Moderate
efavirenz,palbociclib,Moderate
efavirenz,clotrimazole,Moderate
efavirenz,brigatinib,Major
efavirenz,acetylsalicylic acid,Unknown
efavirenz,celecoxib,Moderate
efavirenz,clarithromycin,Moderate
efavirenz,simvastatin,Moderate
efavirenz,deferasirox,Moderate
efavirenz,famotidine,Moderate
efavirenz,erythromycin,Major
efavirenz,pegaspargase,Moderate
efavirenz,exemestane,Moderate
efavirenz,brentuximab vedotin,Moderate
efavirenz,apixaban,Moderate
dextromethorphan,promethazine,Moderate
dextromethorphan,alprazolam,Moderate
dextromethorphan,fluconazole,Unknown
dextromethorphan,clozapine,Moderate
dextromethorphan,methylprednisolone,Unknown
dextromethorphan,estazolam,Moderate
dextromethorphan,dexamethasone,Unknown
dextromethorphan,folic acid,Unknown
dextromethorphan,potassium chloride,Unknown
dextromethorphan,ondansetron,Major
dextromethorphan,ofloxacin,Unknown
dextromethorphan,paclitaxel,Unknown
dextromethorphan,topiramate,Moderate
dextromethorphan,ritonavir,Moderate
dextromethorphan,zonisamide,Moderate
dextromethorphan,fluticasone,Unknown
dextromethorphan,ibuprofen,Unknown
dextromethorphan,zidovudine,Unknown
dextromethorphan,pregabalin,Moderate
dextromethorphan,risperidone,Moderate
dextromethorphan,chlordiazepoxide,Moderate
dextromethorphan,valsartan,Unknown
dextromethorphan,oxcarbazepine,Moderate
dextromethorphan,lithium carbonate,Moderate
dextromethorphan,phenobarbital,Moderate
dextromethorphan,furosemide,Unknown
dextromethorphan,celecoxib,Moderate
dextromethorphan,brexpiprazole,Moderate
dextromethorphan,linezolid,Major
dextromethorphan,entacapone,Moderate
dextromethorphan,aripiprazole,Moderate
dextromethorphan,famotidine,Unknown
dextromethorphan,dimenhydrinate,Moderate
dextromethorphan,carbamazepine,Moderate
dextromethorphan,paliperidone,Moderate
dextromethorphan,cimetidine,Moderate
promethazine,alprazolam,Moderate
promethazine,lovastatin,Unknown
promethazine,lenalidomide,Unknown
promethazine,magnesium carbonate,Minor
promethazine,cyanocobalamin,Unknown
promethazine,dutasteride,Unknown
promethazine,ketoconazole,Moderate
promethazine,eplerenone,Moderate
promethazine,fluconazole,Moderate
promethazine,sucralfate,Minor
promethazine,clozapine,Moderate
promethazine,leflunomide,Unknown
promethazine,methylprednisolone,Unknown
promethazine,hydrocortisone,Unknown
promethazine,fluorouracil,Unknown
promethazine,enzalutamide,Moderate
promethazine,estazolam,Moderate
promethazine,dexamethasone,Unknown
promethazine,folic acid,Unknown
promethazine,magnesium hydroxide,Minor
promethazine,iopamidol,Major
promethazine,prednisolone,Unknown
promethazine,tretinoin,Unknown
promethazine,potassium chloride,Major
promethazine,acetylcysteine,Unknown
promethazine,apalutamide,Moderate
promethazine,dasatinib,Moderate
promethazine,docetaxel,Unknown
promethazine,piroxicam,Unknown
promethazine,budesonide,Unknown
promethazine,ondansetron,Moderate
promethazine,ribociclib,Major
promethazine,calcitriol,Unknown
promethazine,triamcinolone,Unknown
promethazine,rifampicin,Unknown
promethazine,isoniazid,Unknown
promethazine,ofloxacin,Moderate
promethazine,ciprofloxacin,Moderate
promethazine,lamivudine,Unknown
promethazine,voriconazole,Moderate
promethazine,halothane,Moderate
promethazine,paclitaxel,Unknown
promethazine,epinephrine,Moderate
promethazine,sevoflurane,Moderate
promethazine,topiramate,Major
promethazine,levodopa,Moderate
promethazine,timolol,Moderate
promethazine,latanoprost,Unknown
promethazine,iohexol,Major
promethazine,sodium bicarbonate,Unknown
promethazine,ritonavir,Moderate
promethazine,zonisamide,Major
promethazine,fluticasone,Unknown
promethazine,sulfamethoxazole,Minor
promethazine,trimethoprim,Unknown
promethazine,lidocaine,Unknown
promethazine,meloxicam,Unknown
promethazine,capecitabine,Unknown
promethazine,vilanterol,Moderate
promethazine,bortezomib,Unknown
promethazine,oxaliplatin,Moderate
promethazine,insulin lispro,Moderate
promethazine,crizotinib,Major
promethazine,ibuprofen,Unknown
promethazine,carvedilol,Moderate
promethazine,zidovudine,Unknown
promethazine,pregabalin,Moderate
promethazine,metformin,Moderate
promethazine,cisplatin,Unknown
promethazine,sulfasalazine,Unknown
promethazine,risperidone,Moderate
promethazine,mesalazine,Unknown
promethazine,amphotericin b,Unknown
promethazine,tacrolimus,Moderate
promethazine,nystatin,Unknown
promethazine,cyclophosphamide,Unknown
promethazine,metronidazole,Minor
promethazine,prednisone,Unknown
promethazine,eptifibatide,Unknown
promethazine,oxytocin,Moderate
promethazine,insulin glargine,Moderate
promethazine,diclofenac,Unknown
promethazine,lansoprazole,Unknown
promethazine,chlordiazepoxide,Moderate
promethazine,valsartan,Moderate
promethazine,nifedipine,Moderate
promethazine,methotrexate,Unknown
promethazine,isosorbide dinitrate,Moderate
promethazine,clotrimazole,Unknown
promethazine,tobramycin,Unknown
promethazine,mupirocin,Unknown
promethazine,oxcarbazepine,Moderate
promethazine,norethisterone,Unknown
promethazine,lithium carbonate,Moderate
promethazine,acetylsalicylic acid,Unknown
promethazine,empagliflozin,Moderate
promethazine,phenobarbital,Moderate
promethazine,nimodipine,Moderate
promethazine,furosemide,Moderate
promethazine,celecoxib,Moderate
promethazine,brexpiprazole,Moderate
promethazine,linezolid,Moderate
promethazine,entacapone,Moderate
promethazine,hydrochlorothiazide,Moderate
promethazine,clarithromycin,Moderate
promethazine,fenofibrate,Unknown
promethazine,simvastatin,Unknown
promethazine,aripiprazole,Moderate
promethazine,propofol,Moderate
promethazine,famotidine,Moderate
promethazine,magaldrate,Minor
promethazine,erythromycin,Moderate
promethazine,ketoprofen,Unknown
promethazine,irbesartan,Moderate
promethazine,minoxidil,Moderate
promethazine,digoxin,Unknown
promethazine,dimenhydrinate,Moderate
promethazine,gemfibrozil,Unknown
promethazine,lixisenatide,Moderate
promethazine,amoxicillin,Unknown
promethazine,isosorbide mononitrate,Moderate
promethazine,carbamazepine,Moderate
promethazine,paliperidone,Moderate
promethazine,cimetidine,Unknown
abemaciclib,infliximab,Major
abemaciclib,etanercept,Major
abemaciclib,ketoconazole,Major
abemaciclib,fluconazole,Moderate
abemaciclib,clozapine,Major
abemaciclib,leflunomide,Major
abemaciclib,enzalutamide,Major
abemaciclib,dexamethasone,Moderate
abemaciclib,golimumab,Major
abemaciclib,chloramphenicol,Moderate
abemaciclib,adalimumab,Major
abemaciclib,apalutamide,Major
abemaciclib,dasatinib,Moderate
abemaciclib,rifapentine,Major
abemaciclib,baricitinib,Major
abemaciclib,ribociclib,Moderate
abemaciclib,rifampicin,Major
abemaciclib,ciprofloxacin,Moderate
abemaciclib,cladribine,Major
abemaciclib,voriconazole,Major
