zat_aktif_1,zat_aktif_2,level
abemaciclib,adalimumab,major
abemaciclib,apalutamide,major
abemaciclib,baricitinib,major
abemaciclib,brentuximab vedotin,moderate
abemaciclib,brigatinib,moderate
abemaciclib,carbamazepine,major
abemaciclib,chloramphenicol,moderate
abemaciclib,ciprofloxacin,moderate
abemaciclib,cladribine,major
abemaciclib,clarithromycin,major
abemaciclib,clotrimazole,moderate
abemaciclib,clozapine,major
abemaciclib,crizotinib,moderate
abemaciclib,dasatinib,moderate
abemaciclib,deferasirox,moderate
abemaciclib,deferiprone,major
abemaciclib,dexamethasone,moderate
abemaciclib,efavirenz,moderate
abemaciclib,enzalutamide,major
abemaciclib,erythromycin,moderate
abemaciclib,etanercept,major
abemaciclib,fluconazole,moderate
abemaciclib,golimumab,major
abemaciclib,infliximab,major
abemaciclib,interferon beta-1a,moderate
abemaciclib,ketoconazole,major
abemaciclib,leflunomide,major
abemaciclib,lorlatinib,moderate
abemaciclib,metformin,moderate
abemaciclib,methotrexate,moderate
abemaciclib,netupitant,moderate
abemaciclib,oxcarbazepine,moderate
abemaciclib,palbociclib,moderate
abemaciclib,phenobarbital,major
abemaciclib,ribociclib,moderate
abemaciclib,rifampicin,major
abemaciclib,rifapentine,major
abemaciclib,ritonavir,major
abemaciclib,ustekinumab,moderate
abemaciclib,voriconazole,major
abemaciclib,zidovudine,moderate
acetylcysteine,acetylsalicylic acid,unknown
acetylcysteine,alprazolam,unknown
acetylcysteine,amoxicillin,unknown
acetylcysteine,amphotericin b,unknown
acetylcysteine,bortezomib,unknown
acetylcysteine,budesonide,unknown
acetylcysteine,calcitriol,unknown
acetylcysteine,carbamazepine,unknown
acetylcysteine,carvedilol,unknown
acetylcysteine,celecoxib,unknown
acetylcysteine,cimetidine,unknown
acetylcysteine,ciprofloxacin,unknown
acetylcysteine,cisplatin,unknown
acetylcysteine,clarithromycin,unknown
acetylcysteine,cyanocobalamin,unknown
acetylcysteine,cyclophosphamide,unknown
acetylcysteine,dexamethasone,unknown
acetylcysteine,diclofenac,unknown
acetylcysteine,digoxin,unknown
acetylcysteine,docetaxel,unknown
acetylcysteine,epinephrine,unknown
acetylcysteine,eptifibatide,unknown
acetylcysteine,erythromycin,unknown
acetylcysteine,famotidine,unknown
acetylcysteine,fenofibrate,unknown
acetylcysteine,fluconazole,unknown
acetylcysteine,fluorouracil,unknown
acetylcysteine,fluticasone,unknown
acetylcysteine,folic acid,unknown
acetylcysteine,furosemide,unknown
acetylcysteine,hydrochlorothiazide,unknown
acetylcysteine,hydrocortisone,unknown
acetylcysteine,ibuprofen,unknown
acetylcysteine,iodixanol,unknown
acetylcysteine,iopromide,unknown
acetylcysteine,irbesartan,unknown
acetylcysteine,isoniazid,unknown
acetylcysteine,isosorbide dinitrate,unknown
acetylcysteine,isosorbide mononitrate,unknown
acetylcysteine,ketoprofen,unknown
acetylcysteine,lamivudine,unknown
acetylcysteine,lansoprazole,unknown
acetylcysteine,leflunomide,unknown
acetylcysteine,lidocaine,unknown
acetylcysteine,linezolid,unknown
acetylcysteine,metformin,unknown
acetylcysteine,methotrexate,unknown
acetylcysteine,methylprednisolone,unknown
acetylcysteine,metronidazole,unknown
acetylcysteine,mupirocin,unknown
acetylcysteine,nifedipine,unknown
acetylcysteine,nystatin,unknown
acetylcysteine,ofloxacin,unknown
acetylcysteine,ondansetron,unknown
acetylcysteine,oxaliplatin,unknown
acetylcysteine,paclitaxel,unknown
acetylcysteine,piperacillin,unknown
acetylcysteine,piroxicam,unknown
acetylcysteine,potassium chloride,unknown
acetylcysteine,prednisolone,unknown
acetylcysteine,prednisone,unknown
acetylcysteine,pregabalin,unknown
acetylcysteine,promethazine,unknown
acetylcysteine,propofol,unknown
acetylcysteine,risperidone,unknown
acetylcysteine,simvastatin,unknown
acetylcysteine,sodium bicarbonate,unknown
acetylcysteine,sucralfate,unknown
acetylcysteine,sulfasalazine,unknown
acetylcysteine,tacrolimus,unknown
acetylcysteine,tobramycin,unknown
acetylcysteine,triamcinolone,unknown
acetylcysteine,valsartan,unknown
acetylcysteine,voriconazole,unknown
acetylsalicylic acid,alprazolam,unknown
acetylsalicylic acid,aminophylline,unknown
acetylsalicylic acid,amoxicillin,unknown
acetylsalicylic acid,amphotericin b,unknown
acetylsalicylic acid,apixaban,major
acetylsalicylic acid,aripiprazole,unknown
acetylsalicylic acid,bacitracin,unknown
acetylsalicylic acid,baricitinib,moderate
acetylsalicylic acid,betamethasone,moderate
acetylsalicylic acid,bortezomib,unknown
acetylsalicylic acid,budesonide,moderate
acetylsalicylic acid,caffeine,minor
acetylsalicylic acid,calcitriol,unknown
acetylsalicylic acid,calcium carbonate,moderate
acetylsalicylic acid,capecitabine,unknown
acetylsalicylic acid,carbamazepine,unknown
acetylsalicylic acid,carvedilol,minor
acetylsalicylic acid,celecoxib,moderate
acetylsalicylic acid,chloramphenicol,unknown
acetylsalicylic acid,chlordiazepoxide,unknown
acetylsalicylic acid,cimetidine,unknown
acetylsalicylic acid,ciprofloxacin,moderate
acetylsalicylic acid,cisplatin,unknown
acetylsalicylic acid,cladribine,unknown
acetylsalicylic acid,clarithromycin,unknown
acetylsalicylic acid,clotrimazole,unknown
acetylsalicylic acid,clozapine,unknown
acetylsalicylic acid,cyanocobalamin,unknown
acetylsalicylic acid,cyclophosphamide,unknown
acetylsalicylic acid,dasatinib,major
acetylsalicylic acid,deferasirox,major
acetylsalicylic acid,deoxycholic acid,moderate
acetylsalicylic acid,dexamethasone,moderate
acetylsalicylic acid,diclofenac,moderate
acetylsalicylic acid,digoxin,moderate
acetylsalicylic acid,docetaxel,unknown
acetylsalicylic acid,drospirenone,moderate
acetylsalicylic acid,dutasteride,unknown
acetylsalicylic acid,efavirenz,unknown
acetylsalicylic acid,entacapone,unknown
acetylsalicylic acid,epinephrine,unknown
acetylsalicylic acid,eplerenone,moderate
acetylsalicylic acid,eptifibatide,moderate
acetylsalicylic acid,erythromycin,unknown
acetylsalicylic acid,estazolam,unknown
acetylsalicylic acid,exemestane,unknown
acetylsalicylic acid,famotidine,unknown
acetylsalicylic acid,fenofibrate,unknown
acetylsalicylic acid,fluconazole,unknown
acetylsalicylic acid,fluorouracil,unknown
acetylsalicylic acid,fluticasone,unknown
acetylsalicylic acid,folic acid,unknown
acetylsalicylic acid,furosemide,minor
acetylsalicylic acid,gemfibrozil,unknown
acetylsalicylic acid,hydrochlorothiazide,unknown
acetylsalicylic acid,hydrocortisone,moderate
acetylsalicylic acid,ibrutinib,major
acetylsalicylic acid,ibuprofen,major
acetylsalicylic acid,insulin glargine,moderate
acetylsalicylic acid,insulin lispro,moderate
acetylsalicylic acid,iodixanol,unknown
acetylsalicylic acid,iopamidol,unknown
acetylsalicylic acid,iopromide,unknown
acetylsalicylic acid,irbesartan,moderate
acetylsalicylic acid,isoflurane,unknown
acetylsalicylic acid,isoniazid,unknown
acetylsalicylic acid,isosorbide dinitrate,unknown
acetylsalicylic acid,isosorbide mononitrate,unknown
acetylsalicylic acid,ketoconazole,unknown
acetylsalicylic acid,ketoprofen,moderate
acetylsalicylic acid,lamivudine,unknown
acetylsalicylic acid,lansoprazole,minor
acetylsalicylic acid,latanoprost,unknown
acetylsalicylic acid,leflunomide,major
acetylsalicylic acid,lenalidomide,unknown
acetylsalicylic acid,levonorgestrel,unknown
acetylsalicylic acid,lidocaine,unknown
acetylsalicylic acid,linezolid,unknown
acetylsalicylic acid,lithium carbonate,minor
acetylsalicylic acid,lovastatin,unknown
acetylsalicylic acid,magaldrate,moderate
acetylsalicylic acid,magnesium carbonate,moderate
acetylsalicylic acid,magnesium hydroxide,moderate
acetylsalicylic acid,mefenamic acid,moderate
acetylsalicylic acid,meloxicam,moderate
acetylsalicylic acid,mesalazine,unknown
acetylsalicylic acid,metformin,unknown
acetylsalicylic acid,methotrexate,major
acetylsalicylic acid,methylprednisolone,moderate
acetylsalicylic acid,metronidazole,unknown
acetylsalicylic acid,minoxidil,unknown
acetylsalicylic acid,mupirocin,unknown
acetylsalicylic acid,nifedipine,moderate
acetylsalicylic acid,nimodipine,moderate
acetylsalicylic acid,norethisterone,unknown
acetylsalicylic acid,nystatin,unknown
acetylsalicylic acid,ofloxacin,moderate
acetylsalicylic acid,ondansetron,unknown
acetylsalicylic acid,oxaliplatin,unknown
acetylsalicylic acid,oxcarbazepine,unknown
acetylsalicylic acid,paclitaxel,unknown
acetylsalicylic acid,pegaspargase,moderate
acetylsalicylic acid,piperacillin,unknown
acetylsalicylic acid,piroxicam,moderate
acetylsalicylic acid,potassium chloride,unknown
acetylsalicylic acid,prednisolone,moderate
acetylsalicylic acid,prednisone,moderate
acetylsalicylic acid,pregabalin,unknown
acetylsalicylic acid,promethazine,unknown
acetylsalicylic acid,propofol,unknown
acetylsalicylic acid,pyrazinamide,unknown
acetylsalicylic acid,ramucirumab,major
acetylsalicylic acid,rifampicin,unknown
acetylsalicylic acid,risperidone,unknown
acetylsalicylic acid,ritonavir,unknown
acetylsalicylic acid,rivaroxaban,major
acetylsalicylic acid,simvastatin,unknown
acetylsalicylic acid,sodium acetate,moderate
acetylsalicylic acid,sodium bicarbonate,moderate
acetylsalicylic acid,sodium citrate,moderate
acetylsalicylic acid,streptokinase,moderate
acetylsalicylic acid,sucralfate,unknown
acetylsalicylic acid,sulfasalazine,unknown
acetylsalicylic acid,tacrolimus,unknown
acetylsalicylic acid,tenecteplase,moderate
acetylsalicylic acid,timolol,minor
acetylsalicylic acid,tobramycin,moderate
acetylsalicylic acid,topiramate,unknown
acetylsalicylic acid,tretinoin,unknown
acetylsalicylic acid,triamcinolone,moderate
acetylsalicylic acid,trimethoprim,unknown
acetylsalicylic acid,valsartan,moderate
acetylsalicylic acid,voriconazole,unknown
acetylsalicylic acid,zanubrutinib,major
acetylsalicylic acid,zidovudine,unknown
acetylsalicylic acid,zonisamide,unknown
adalimumab,alprazolam,moderate
adalimumab,aminophylline,moderate
adalimumab,apixaban,moderate
adalimumab,baricitinib,major
adalimumab,basiliximab,major
adalimumab,betamethasone,major
adalimumab,bortezomib,major
adalimumab,brentuximab vedotin,major
adalimumab,brigatinib,major
adalimumab,budesonide,major
adalimumab,capecitabine,major
adalimumab,carbamazepine,moderate
adalimumab,chloramphenicol,moderate
adalimumab,cisplatin,major
adalimumab,cladribine,major
adalimumab,clozapine,major
adalimumab,crizotinib,moderate
adalimumab,cyclophosphamide,major
adalimumab,dasatinib,major
adalimumab,decitabine,major
adalimumab,deferiprone,major
adalimumab,dexamethasone,major
adalimumab,dienogest,moderate
adalimumab,docetaxel,major
adalimumab,drospirenone,moderate
adalimumab,etanercept,major
adalimumab,ethinylestradiol,moderate
adalimumab,etonogestrel,moderate
adalimumab,everolimus,major
adalimumab,fluorouracil,major
