zat_aktif_1,zat_aktif_2,level
piroxicam,deferasirox,Major
piroxicam,iopamidol,Major
piroxicam,tacrolimus,Major
piroxicam,brentuximab vedotin,Moderate
piroxicam,potassium chloride,Moderate
piroxicam,eptifibatide,Moderate
piroxicam,acetylsalicylic acid,Moderate
piroxicam,cimetidine,Minor
piroxicam,enzalutamide,Moderate
piroxicam,apalutamide,Moderate
piroxicam,lorlatinib,Moderate
piroxicam,metformin,Moderate
piroxicam,diclofenac,Moderate
piroxicam,lansoprazole,Unknown
piroxicam,clotrimazole,Unknown
piroxicam,ibrutinib,Major
piroxicam,iohexol,Major
piroxicam,folic acid,Unknown
piroxicam,oxaliplatin,Moderate
piroxicam,acetylcysteine,Unknown
piroxicam,fluticasone,Unknown
piroxicam,pegaspargase,Moderate
piroxicam,prednisolone,Moderate
piroxicam,streptokinase,Moderate
piroxicam,dexamethasone,Moderate
piroxicam,ibuprofen,Moderate
piroxicam,hydrocortisone,Moderate
piroxicam,ondansetron,Unknown
piroxicam,betamethasone,Moderate
piroxicam,rivaroxaban,Major
piroxicam,cyanocobalamin,Unknown
piroxicam,cisplatin,Unknown
piroxicam,budesonide,Moderate
piroxicam,methylprednisolone,Moderate
piroxicam,sulfasalazine,Moderate
piroxicam,celecoxib,Moderate
piroxicam,bortezomib,Unknown
piroxicam,baricitinib,Moderate
piroxicam,triamcinolone,Moderate
piroxicam,everolimus,Major
piroxicam,tenecteplase,Moderate
piroxicam,methotrexate,Major
piroxicam,metronidazole,Unknown
piroxicam,lidocaine,Unknown
piroxicam,potassium iodide,Moderate
piroxicam,mesalazine,Moderate
piroxicam,fluconazole,Unknown
piroxicam,apixaban,Major
piroxicam,ramucirumab,Major
piroxicam,interferon beta-1a,Moderate
piroxicam,iopromide,Major
piroxicam,leflunomide,Major
piroxicam,amoxicillin,Unknown
piroxicam,erythromycin,Unknown
piroxicam,dasatinib,Major
piroxicam,iodixanol,Major
piroxicam,famotidine,Minor
piroxicam,sucralfate,Unknown
piroxicam,cyclophosphamide,Unknown
piroxicam,simvastatin,Unknown
piroxicam,prednisone,Moderate
piroxicam,promethazine,Unknown
propofol,epinephrine,Unknown
propofol,tacrolimus,Moderate
propofol,ribociclib,Moderate
propofol,potassium chloride,Unknown
propofol,acetylsalicylic acid,Unknown
propofol,oxytocin,Moderate
propofol,cimetidine,Unknown
propofol,enzalutamide,Moderate
propofol,apalutamide,Moderate
propofol,lorlatinib,Moderate
propofol,metformin,Unknown
propofol,diclofenac,Unknown
propofol,chloramphenicol,Unknown
propofol,lansoprazole,Unknown
propofol,clotrimazole,Unknown
propofol,magnesium hydroxide,Moderate
propofol,folic acid,Unknown
propofol,oxaliplatin,Moderate
propofol,acetylcysteine,Unknown
propofol,fluticasone,Unknown
propofol,ketoconazole,Moderate
